1|579302|1.0
2|579302|1.0
3|579302|1.0
4|579302|2.72
5|579302|2.01
6|579302|15.08
7|579302|2.1
8|579302|1.0
9|579302|8.026894865525673
1|609144|1.01
2|609144|1.0
3|609144|1.0
4|609144|1.0
5|609144|2.0
6|609144|1.0
7|609144|5.92
8|609144|1.0
1|609144|1.01
2|609144|1.0
3|609144|1.0
9|12093990|1.01
1|12093990|1.0
3|12093990|1.0
9|12103598|1.0
5|12199817|1.0
7|1227965|1.0
8|1254479|2.72
9|1275437|2.01
1|1286150|15.08
2|1347182|2.1
3|1366415|1.0
2|1373591|8.026894865525673
9|13966531|1.01
4|14128378|1.0
4|14195752|1.0
6|14196007|1.0
6|609144|2.0
7|14196007|1.0
7|609144|5.92
8|14196163|1.0
8|14196007|1.01
1|14196163|1.0
1|14196163|1.0
9|14196919|1.01
4|14196619|1.0
4|14198254|1.0
6|14198368|1.0
6|14205975|2.0
7|14205978|1.0
7|14205981|5.92
8|14206020|1.0
8|14205255|1.01
1|14205258|1.0
1|14205333|1.0
